CACode,VaCode,Estimate,ASE,Flag
C01T,V00T,100,,B
C01T,V01A,15.9,0.7,
C01T,V01B,17.6,0.9,
C01T,V01C,33.5,1,
C01T,V01D,16.2,0.8,
C01T,V01E,16.6,0.8,
C01T,V01M,7.8,0,
C01T,V02A,11.6,0.8,
C01T,V02B,15.9,0.8,
C01T,V02C,31.2,0.9,
C01T,V02D,18.4,0.9,
C01T,V02E,22.9,1,
C01T,V02M,8.1,0,
C01T,V03A,16.3,0.9,
C01T,V03B,21,0.8,
C01T,V03C,32.7,1,
C01T,V03D,15.6,0.9,
C01T,V03E,14.4,0.8,
C01T,V03M,7.8,0,
C01T,V04A,7.2,0.6,
C01T,V04B,24.2,0.9,
C01T,V04C,46.4,1.1,
C01T,V04D,22.2,1,
C01T,V05A,18.4,1,
C01T,V05B,39.1,1,
C01T,V05C,29,1.1,
C01T,V05D,13.5,0.8,
C01T,V06A,2,0.3,
C01T,V06B,3.5,0.4,
C01T,V06C,13.2,0.7,
C01T,V06D,40.6,0.9,
C01T,V06E,40.7,1.1,
C01T,V06M,7.9,0,
C01T,V07A,60.3,1,
C01T,V07B,12.4,0.7,
C01T,V07C,14.2,0.9,
C01T,V07D,10.2,0.7,
C01T,V07E,3,0.4,
C01T,V07M,2.5,0.1,
C01T,V08A,18.5,0.8,
C01T,V09A,56.5,1.1,
C01T,V09B,23.9,1,
C01T,V09C,16.2,0.8,
C01T,V09D,3.5,0.4,
C01T,V10A,7.3,0.6,
C01T,V10B,26.5,0.9,
C01T,V10C,53.2,1.1,
C01T,V10D,13,0.8,
C01T,V10M,6.8,0,
C01T,V11A,8.6,0.6,
C01T,V11B,20,0.9,
C01T,V11C,45.4,1.1,
C01T,V11D,25.9,1,
C01T,V11M,7.2,0,
C01T,V12A,17.2,0.9,
C01T,V12B,32.2,1,
C01T,V12C,37,1.1,
C01T,V12D,13.6,0.8,
C01T,V12M,6.2,0.1,
C01T,V13A,5.1,0.5,
C01T,V13B,12,0.7,
C01T,V13C,40,1.3,
C01T,V13D,42.9,1.3,
C01T,V13M,7.9,0,
C01T,V14A,39.7,1.3,
C01T,V14B,36,1.1,
C01T,V14C,20.2,0.8,
C01T,V14D,4.1,0.4,
C01T,V14M,4.8,0.1,
C01T,V15A,73,1,
C01T,V15B,22.6,1,
C01T,V15C,4.4,0.4,
C01T,V16A,77.7,0.9,
C01T,V16B,16.4,0.8,
C01T,V16C,5.8,0.5,
C01T,V17A,2.1,0.3,
C01T,V17B,10.9,0.7,
C01T,V17C,24.2,1,
C01T,V17D,35.7,1.1,
C01T,V17E,27.1,1,
C01T,V18A,94.8,0.5,
C01T,V18B,5.2,0.5,
C02A,V00T,49.2,,B
C02A,V01A,15.8,1.1,
C02A,V01B,18.8,1.2,
C02A,V01C,34.1,1.4,
C02A,V01D,16.5,1.1,
C02A,V01E,14.8,1.2,
C02A,V01M,7.8,0.1,
C02A,V02A,12,1.1,
C02A,V02B,17.8,1.4,
C02A,V02C,32.1,1.4,
C02A,V02D,18.4,1.4,
C02A,V02E,19.7,1.4,
C02A,V02M,8,0.1,
C02A,V03A,16.2,1.3,
C02A,V03B,21.6,1.3,
C02A,V03C,33.3,1.5,
C02A,V03D,15.9,1.2,
C02A,V03E,13,1.2,
C02A,V03M,7.8,0,
C02A,V04A,6.9,0.8,
C02A,V04B,22.6,1.3,
C02A,V04C,46.5,1.7,
C02A,V04D,24,1.4,
C02A,V05A,18.5,1.4,
C02A,V05B,38.9,1.4,
C02A,V05C,28.7,1.5,
C02A,V05D,13.9,1.1,
C02A,V06A,1.7,0.4,
C02A,V06B,3.5,0.5,
C02A,V06C,13,1,
C02A,V06D,42.9,1.3,
C02A,V06E,39,1.5,
C02A,V06M,7.8,0.1,
C02A,V07A,63.1,1.6,
C02A,V07B,11.7,1,
C02A,V07C,14.1,1.4,
C02A,V07D,8.8,0.9,
C02A,V07E,2.4,0.5,
C02A,V07M,2.4,0.1,
C02A,V08A,16.6,1.3,
C02A,V09A,60.6,1.5,
C02A,V09B,22.1,1.4,
C02A,V09C,14.1,1.2,
C02A,V09D,3.1,0.5,
C02A,V10A,7.5,0.8,
C02A,V10B,25.8,1.4,
C02A,V10C,53.5,1.7,
C02A,V10D,13.3,1.2,
C02A,V10M,6.9,0.1,
C02A,V11A,7.7,0.8,
C02A,V11B,18.4,1.3,
C02A,V11C,46.3,1.7,
C02A,V11D,27.6,1.4,
C02A,V11M,7.3,0.1,
C02A,V12A,20,1.3,
C02A,V12B,32.5,1.4,
C02A,V12C,35,1.5,
C02A,V12D,12.5,1.1,
C02A,V12M,6.1,0.1,
C02A,V13A,5.8,0.6,
C02A,V13B,12.8,1,
C02A,V13C,40.6,1.8,
C02A,V13D,40.7,1.8,
C02A,V13M,7.8,0.1,
C02A,V14A,40.7,2.1,
C02A,V14B,34.5,1.7,
C02A,V14C,20.3,1.4,
C02A,V14D,4.5,0.6,
C02A,V14M,4.8,0.1,
C02A,V15A,74.9,1.4,
C02A,V15B,21.2,1.3,
C02A,V15C,3.9,0.6,
C02A,V16A,79,1.4,
C02A,V16B,16,1.1,
C02A,V16C,5,0.8,
C02A,V17A,1.6,0.4,
C02A,V17B,9.3,0.9,
C02A,V17C,23.3,1.4,
C02A,V17D,36.9,1.6,
C02A,V17E,28.9,1.5,
C02A,V18A,95.6,0.7,
C02A,V18B,4.4,0.7,
C02B,V00T,50.8,,B
C02B,V01A,16.1,1,
C02B,V01B,16.5,1.1,
C02B,V01C,33,1.4,
C02B,V01D,16,1.2,
C02B,V01E,18.4,1.1,
C02B,V01M,7.9,0,
C02B,V02A,11.2,1,
C02B,V02B,14.1,1,
C02B,V02C,30.4,1.3,
